Frequency_Hz,Gain_dB,Phase_deg
1659586.91,86.0402705,0.164021949
1698243.65,86.0413746,0.171572229
1737800.83,86.0425304,0.179566141
1778279.41,86.0437404,0.188033231
1819700.86,86.045007,0.19700512
1862087.14,86.0463329,0.206515644
1905460.72,86.0477208,0.21660102
1949844.6,86.0491736,0.22730001
1995262.31,86.0506943,0.238654113
2041737.94,86.052286,0.250707747
2089296.13,86.0539521,0.263508471
2137962.09,86.0556958,0.277107208
2187761.62,86.0575209,0.291558482
2238721.14,86.0594311,0.30692068
2290867.65,86.0614302,0.323256332
2344228.82,86.0635223,0.340632409
2398832.92,86.0657117,0.35912064
2454708.92,86.0680028,0.378797859
2511886.43,86.0704002,0.399746372
2570395.78,86.0729088,0.422054354
2630267.99,86.0755336,0.445816272
2691534.8,86.0782798,0.471133345
2754228.7,86.0811528,0.498114026
2818382.93,86.0841585,0.526874535
2884031.5,86.0873026,0.557539416
2951209.23,86.0905913,0.590242148
3019951.72,86.094031,0.625125793
3090295.43,86.0976283,0.662343693
3162277.66,86.1013902,0.702060219
3235936.57,86.1053237,0.74445158
3311311.21,86.1094363,0.789706683
3388441.56,86.1137356,0.838028065
3467368.5,86.1182296,0.889632888
3548133.89,86.1229264,0.944754015
3630780.55,86.1278344,1.00364116
3715352.29,86.1329625,1.06656211
3801893.96,86.1383194,1.13380409
3890451.45,86.1439143,1.20567516
3981071.71,86.1497566,1.28250576
4073802.78,86.1558559,1.36465035
4168693.83,86.1622218,1.45248922
4265795.19,86.1688644,1.54643033
4365158.32,86.1757935,1.64691144
4466835.92,86.1830191,1.75440223
4570881.9,86.1905513,1.86940671
4677351.41,86.1984,1.99246575
4786300.92,86.2065749,2.12415983
4897788.19,86.2150857,2.2651119
5011872.34,86.2239415,2.41599064
5128613.84,86.233151,2.57751371
5248074.6,86.2427222,2.75045149
5370317.96,86.2526622,2.93563089
5495408.74,86.2629773,3.13393955
5623413.25,86.2736721,3.34633033
5754399.37,86.28475,3.57382601
5888436.55,86.2962122,3.81752451
6025595.86,86.3080576,4.07860424
6165950.02,86.3202824,4.35833001
6309573.44,86.3328793,4.65805917
6456542.29,86.3458372,4.97924825
6606934.48,86.3591403,5.32345989
6760829.75,86.3727671,5.69237025
6918309.71,86.3866898,6.08777679
7079457.84,86.400873,6.51160638
7244359.6,86.4152724,6.96592388
7413102.41,86.4298336,7.45294086
7585775.75,86.4444897,7.97502475
7762471.17,86.4591603,8.534708
7943282.35,86.4737487,9.13469738
8128305.16,86.4881393,9.77788315
8317637.71,86.502195,10.4673479
8511380.38,86.5157539,11.2063747
8709635.9,86.5286251,11.9984546
8912509.38,86.540585,12.8472924
9120108.39,86.5513723,13.7568112
9332543.01,86.5606823,14.7311534
9549925.86,86.5681616,15.7746794
9772372.21,86.5734009,16.8919613
10000000.0,86.5759281,18.0877719
